Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 42:3:0	0.20111886	0.23368934	0.22955044	0.22169225	[0.20111886..0.23368934]	Sum	[1.4889343..1.4889343]	[1.6065967..1.6065967]	[1.454677..1.454677]	[1.427367..1.427367]	[1.427367..1.6065967]	
						PS 18:1-24:2	[0.43039626..0.43039626]	[0.4629156..0.4629156]	[0.41139302..0.41139302]	[0.3824541..0.3824541]	[0.3824541..0.4629156]	
						PS 18:0-24:3	[1.0585381..1.0585381]	[1.143681..1.143681]	[1.0432839..1.0432839]	[1.0449129..1.0449129]	[1.0432839..1.143681]	
PS 42:4:0	1.4037299	1.4076886	1.4548974	1.4185598	[1.4037299..1.4548974]	Sum	[1.7961131..1.7961131]	[1.9173506..1.9173506]	[1.7996144..1.7996144]	[1.7838672..1.7838672]	[1.7838672..1.9173506]	
						PS 18:1-24:3	[0.30023333..0.30023333]	[0.3190382..0.3190382]	[0.28803307..0.28803307]	[0.29002225..0.29002225]	[0.28803307..0.3190382]	
						PS 18:0-24:4	[1.4650135..1.4650135]	[1.5665748..1.5665748]	[1.4820982..1.4820982]	[1.4657725..1.4657725]	[1.4650135..1.5665748]	
						PS 20:1-22:3	[0.030866323..0.030866323]	[0.031737704..0.031737704]	[0.029483113..0.029483113]	[0.028072465..0.028072465]	[0.028072465..0.031737704]	
PS 42:5:0	1.1927238	1.2405607	1.2736264	1.2294087	[1.1927238..1.2736264]	Sum	[1.4437891..1.4437891]	[1.5536085..1.5536085]	[1.4592463..1.4592463]	[1.4408615..1.4408615]	[1.4408615..1.5536085]	
						PS 18:1-24:4	[0.54795617..0.54795617]	[0.5853212..0.5853212]	[0.5351991..0.5351991]	[0.5370557..0.5370557]	[0.5351991..0.5853212]	
						PS 18:0-24:5 (0z-9z)	[0.8958331..0.8958331]	[0.9682874..0.9682874]	[0.9240472..0.9240472]	[0.90380573..0.90380573]	[0.8958331..0.9682874]	
PS 42:6:0	0.15280677	0.12891328	0.072205365	0.09091194	[0.072205365..0.15280677]	Sum	[1.2711797..1.2711797]	[1.2732704..1.2732704]	[1.1758338..1.1758338]	[1.167101..1.167101]	[1.167101..1.2732704]	
						PS 18:1-24:5 (0z-9z)	[0.40790415..0.40790415]	[0.422926..0.422926]	[0.3804055..0.3804055]	[0.37601507..0.37601507]	[0.37601507..0.422926]	
						PS 18:0-24:6	[0.8632755..0.8632755]	[0.8503444..0.8503444]	[0.79542834..0.79542834]	[0.791086..0.791086]	[0.791086..0.8632755]	
PS 42:7:0	0.72882926	0.79092526	0.92831194	0.9334919	[0.72882926..0.9334919]	Sum	[0.037323747..0.037323747]	[0.04055993..0.04055993]	[0.033059753..0.033059753]	[0.037839405..0.037839405]	[0.033059753..0.04055993]	
						PS 20:1-22:6	[0.037323747..0.037323747]	[0.04055993..0.04055993]	[0.033059753..0.033059753]	[0.037839405..0.037839405]	[0.033059753..0.04055993]	
