Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PG 22:2/15:0	[0.0..1.7242461E-4]	[0.0..1.5706317E-4]	[2.5129947E-4..8.7231066E-4]	[0.0..0.0]	[0.0..8.7231066E-4]	
						PG 15:0/22:2	[0.0..3.4484922E-4]	[0.0..3.1412634E-4]	[0.0..5.172802E-4]	[0.0..0.0]	[0.0..5.172802E-4]	
						PG 20:2/17:0	[0.0..0.0]	[0.0..6.8453234E-4]	[0.0..6.8965624E-4]	[0.0..0.0015904712]	[0.0..0.0015904712]	
						PG 17:0/20:2	[0.0024325443..0.0031537546]	[0.0023733557..0.0036802813]	[0.0021258467..0.0030381333]	[0.0..0.0031809425]	[0.0..0.0036802813]	
						PG 19:0/18:2	[0.07186352..0.08267825]	[0.06742369..0.07702091]	[0.06714648..0.07862666]	[0.0695878..0.08190803]	[0.06714648..0.08267825]	
						PG 18:2/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:1/18:1	[0.07819064..0.09712495]	[0.068366244..0.097283736]	[0.073816255..0.09256522]	[0.07303222..0.09538231]	[0.068366244..0.097283736]	
						PG 18:1/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:2/18:0	[0.004111155..0.0061110654]	[0.0042343433..0.007733453]	[0.006159529..0.00904241]	[0.005842708..0.007909622]	[0.004111155..0.00904241]	
						PG 18:0/19:2	[0.003813515..0.005779618]	[0.0026767764..0.005922111]	[0.002831967..0.004910531]	[0.0034172297..0.0053039636]	[0.0026767764..0.005922111]	
PG 37:4:0	0.05946522	0.079185516	0.08646762	0.06931038	[0.05946522..0.08646762]	Sum	[0.11596632..0.14647476]	[0.11500486..0.14834233]	[0.11316892..0.14906478]	[0.1275954..0.15819515]	[0.11316892..0.15819515]	
						PG 22:4 (7z-10z)/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/22:4 (7z-10z)	[0.023939108..0.028907241]	[0.025148544..0.028356254]	[0.023800157..0.0293957]	[0.026009291..0.030665193]	[0.023800157..0.030665193]	
						PG 21:4 (5z-8z)/16:0	[0.009918578..0.014834401]	[0.008275599..0.020085638]	[0.009412555..0.019617617]	[0.008128381..0.01915045]	[0.008128381..0.020085638]	
						PG 16:0/21:4 (5z-8z)	[0.0025721057..0.00718076]	[2.415058E-4..0.009910275]	[0.0015493232..0.00940867]	[0.0012143998..0.010310188]	[2.415058E-4..0.010310188]	
						PG 20:3 (5z-11z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/20:3 (5z-11z)	[0.0026472185..0.0038681543]	[0.002471983..0.0039190818]	[0.0024468813..0.0039136144]	[0.0029356643..0.0039954744]	[0.0024468813..0.0039954744]	
						PG 20:4 (5z-8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/20:4 (5z-8z)	[0.06281491..0.07879113]	[0.062626846..0.077468164]	[0.06349509..0.08199659]	[0.06980478..0.07833887]	[0.062626846..0.08199659]	
						PG 19:2/18:2	[0.0032341557..0.0035748384]	[0.0027095135..0.003728955]	[0.0028421758..0.0036946835]	[0.0031889193..0.004449432]	[0.0027095135..0.004449432]	
						PG 18:2/19:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:3 (6z-9z)/18:1	[0.008637231..0.010433715]	[0.0075210463..0.011122623]	[0.008276953..0.011425923]	[0.008753706..0.013035157]	[0.0075210463..0.013035157]	
						PG 18:1/19:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PG 38:1:0	0.026200244	0.022788918	0.02198582	0.029381454	[0.02198582..0.029381454]	Sum	[0.45615795..0.6153167]	[0.41661888..0.633018]	[0.45731765..0.66163176]	[0.45361266..0.70627517]	[0.41661888..0.70627517]	
						PG 22:1/16:0	[0.27113765..0.41659713]	[0.24642353..0.4248178]	[0.27549034..0.4516684]	[0.28236338..0.4894692]	[0.24642353..0.4894692]	
						PG 16:0/22:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:0/18:1	[0.13095173..0.14643233]	[0.11134413..0.14886159]	[0.11930565..0.14910837]	[0.11551384..0.15437008]	[0.11134413..0.15437008]	
						PG 18:1/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:1/18:0	[0.001792491..0.007894016]	[0.0043205554..0.008285282]	[0.00502934..0.008884832]	[0.0..0.006052402]	[0.0..0.008884832]	
						PG 18:0/20:1	[0.04373678..0.0521762]	[0.044388562..0.05539649]	[0.045211118..0.055073787]	[0.050440565..0.0637095]	[0.04373678..0.0637095]	
PG 38:2:0	0.25602123	0.26860502	0.24309906	0.24113621	[0.24113621..0.26860502]	Sum	[0.35531288..0.3828255]	[0.3533034..0.39963055]	[0.36486164..0.42156067]	[0.37621728..0.4242951]	[0.3533034..0.4242951]	
						PG 22:2/16:0	[0.04704905..0.04933683]	[0.06136207..0.07178418]	[0.07926762..0.111529544]	[0.075976..0.08249854]	[0.04704905..0.111529544]	
						PG 16:0/22:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:0/18:2	[0.068722814..0.08031267]	[0.06302614..0.07800631]	[0.06710323..0.076179855]	[0.06704029..0.0806059]	[0.06302614..0.0806059]	
						PG 18:2/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:1/18:1	[0.12855105..0.14536062]	[0.117829345..0.14404984]	[0.12483764..0.14347415]	[0.124795094..0.1478035]	[0.117829345..0.1478035]	
						PG 18:1/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:2/18:0	[0.0030041987..0.008477947]	[0.0..0.0068229227]	[0.0..0.00940237]	[0.0018339007..0.0064965202]	[0.0..0.00940237]	
						PG 18:0/20:2	[0.09903127..0.10702031]	[0.09452325..0.111851186]	[0.085598975..0.10932988]	[0.096177906..0.11392112]	[0.085598975..0.11392112]	
PG 38:3:0	1.0055586	0.9671207	0.9555495	0.97919506	[0.9555495..1.0055586]	Sum	[0.8987673..1.1072406]	[0.893101..1.1180334]	[0.8318179..1.2193285]	[0.98023033..1.2049791]	[0.8318179..1.2193285]	
						PG 22:3 (13z)/16:0	[0.001546257..0.013690294]	[7.9882826E-4..0.009322197]	[0.003475525..0.015098336]	[0.0036273084..0.0104548205]	[7.9882826E-4..0.015098336]	
						PG 16:0/22:3 (13z)	[0.01601689..0.028746583]	[0.018298158..0.03379733]	[0.01647978..0.03082723]	[0.018969476..0.030759932]	[0.01601689..0.03379733]	
						PG 20:1/18:2	[0.101577386..0.11654177]	[0.09408931..0.11001082]	[0.09369203..0.11134072]	[0.09455198..0.11532379]	[0.09369203..0.11654177]	
						PG 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:2/18:1	[0.10502701..0.11988104]	[0.106131256..0.114609845]	[0.090136625..0.12686753]	[0.10628071..0.13014233]	[0.090136625..0.13014233]	
						PG 18:1/20:2	[0.0..0.011148937]	[0.002759643..0.009041965]	[0.004863859..0.017173044]	[0.0..0.011062098]	[0.0..0.017173044]	
						PG 20:3 (5z-11z)/18:0	[0.0..0.02330744]	[0.0..0.01853528]	[0.0..0.057755988]	[0.0..0.011039435]	[0.0..0.057755988]	
						PG 18:0/20:3 (5z-11z)	[0.6375856..0.83240855]	[0.6366834..0.8425127]	[0.6055459..0.88855374]	[0.7010652..0.9199529]	[0.6055459..0.9199529]	
PG 38:4:0	6.5275335	6.849052	6.5436125	6.880795	[6.5275335..6.880795]	Sum	[5.620112..7.767006]	[5.9499154..7.244285]	[5.700937..7.9451737]	[6.527222..7.897693]	[5.620112..7.9451737]	
						PG 22:4 (7z-10z)/16:0	[0.0..0.044133987]	[0.0..0.027885517]	[0.0..0.04535314]	[0.0..0.060377054]	[0.0..0.060377054]	
						PG 16:0/22:4 (7z-10z)	[0.20291862..0.35881287]	[0.22445641..0.33197042]	[0.21405593..0.33594918]	[0.21742733..0.3773566]	[0.20291862..0.3773566]	
						PG 20:3 (5z-11z)/18:1	[0.0..0.022482917]	[0.0..0.0090911165]	[0.0..0.026119543]	[0.0025421712..0.047760796]	[0.0..0.047760796]	
						PG 18:1/20:3 (5z-11z)	[0.076470435..0.12921216]	[0.096497245..0.14663091]	[0.08802094..0.14756803]	[0.089581266..0.17983776]	[0.076470435..0.17983776]	
						PG 20:4 (5z-8z)/18:0	[0.0..0.15525636]	[0.0..0.020203685]	[0.0..0.10921454]	[0.0..0.02172091]	[0.0..0.15525636]	
						PG 18:0/20:4 (5z-8z)	[5.340723..7.057108]	[5.628962..6.734562]	[5.3928547..7.280969]	[6.1981273..7.2403035]	[5.340723..7.280969]	
PG 38:5:0	3.347701	3.424057	3.4127748	3.2027893	[3.2027893..3.424057]	Sum	[2.7034063..3.7776706]	[2.9605503..3.5818062]	[2.8923461..3.933908]	[3.1518521..3.6966267]	[2.7034063..3.933908]	
						PG 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:0/22:5 (4z-7z)	[2.3145921..3.1630406]	[2.548473..2.9827585]	[2.4770067..3.2939186]	[2.6915157..3.1259973]	[2.3145921..3.2939186]	
						PG 20:4 (5z-8z)/18:1	[0.0..0.06040997]	[0.0..0.024145868]	[0.0..0.045755975]	[0.0..0.025615638]	[0.0..0.06040997]	
						PG 18:1/20:4 (5z-8z)	[0.36854607..0.5542199]	[0.41207764..0.5749016]	[0.41533944..0.59423345]	[0.4603365..0.5450136]	[0.36854607..0.59423345]	
PG 38:6:0	1.7313989	1.7064521	1.7120959	1.697569	[1.697569..1.7313989]	Sum	[1.1623476..1.7006896]	[1.2129005..1.6546017]	[1.2276984..1.7927198]	[1.2484403..1.6597966]	[1.1623476..1.7927198]	
						PG 22:5 (4z-7z)/16:1	[0.02212307..0.048898958]	[0.01878384..0.040447254]	[0.016404532..0.041732866]	[0.008679678..0.038918037]	[0.008679678..0.048898958]	
						PG 16:1/22:5 (4z-7z)	[0.0..0.018483806]	[0.0..0.0122150695]	[0.0..0.01865459]	[0.0..0.02537456]	[0.0..0.02537456]	
						PG 22:6 (4z)/16:0	[0.0..0.038155608]	[0.0..0.061949186]	[0.0..0.020168882]	[0.0..0.10062386]	[0.0..0.10062386]	
						PG 16:0/22:6 (4z)	[1.0985991..1.589817]	[1.1346236..1.5487295]	[1.1778206..1.68074]	[1.1430415..1.5480595]	[1.0985991..1.68074]	
						PG 20:4 (5z-8z)/18:2	[0.0..0.016312806]	[0.0..0.017689243]	[0.0..0.012566365]	[0.0..0.014114756]	[0.0..0.017689243]	
						PG 18:2/20:4 (5z-8z)	[0.011108498..0.03811403]	[0.0122171175..0.03552057]	[0.01609086..0.03902598]	[0.017256327..0.03856491]	[0.011108498..0.03902598]	
PG 39:4:0	0.0	0.0	0.0	0.039170336	[0.0..0.039170336]	Sum	[0.1113551..0.13570711]	[0.097612716..0.13986658]	[0.10084474..0.14241797]	[0.08742938..0.117801815]	[0.08742938..0.14241797]	
						PG 23:4 (7z-10z)/16:0	[0.06179905..0.0873615]	[0.05330994..0.0820906]	[0.06088343..0.09052202]	[0.038301475..0.060050186]	[0.038301475..0.09052202]	
						PG 16:0/23:4 (7z-10z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/22:4 (7z-10z)	[0.022439621..0.03147632]	[0.024922984..0.032734998]	[0.020857982..0.029230736]	[0.025864627..0.03314173]	[0.020857982..0.03314173]	
						PG 20:4 (5z-8z)/19:0	[0.0..7.029391E-4]	[0.0..0.0011078824]	[0.0..0.0065617543]	[0.0..0.0014251599]	[0.0..0.0065617543]	
						PG 19:0/20:4 (5z-8z)	[0.016567484..0.025104966]	[0.01762322..0.026378151]	[0.010734235..0.026247017]	[0.01753537..0.024571724]	[0.010734235..0.026378151]	
PG 39:5:0	0.035546966	0.0	0.0	0.0	[0.0..0.035546966]	Sum	[0.11292838..0.12984927]	[0.10560641..0.13301337]	[0.1090336..0.13087954]	[0.10994441..0.13633518]	[0.10560641..0.13633518]	
						PG 22:4 (7z-10z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/22:4 (7z-10z)	[0.007486531..0.010902947]	[0.008213561..0.0114122685]	[0.007966359..0.010049441]	[0.008968803..0.011260963]	[0.007486531..0.0114122685]	
						PG 22:5 (4z-7z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/22:5 (4z-7z)	[0.0591255..0.07297428]	[0.06600161..0.07240075]	[0.05960218..0.07173519]	[0.063795485..0.07422214]	[0.0591255..0.07422214]	
						PG 21:4 (5z-8z)/18:1	[0.025377316..0.041263495]	[0.02369046..0.041802786]	[0.027909063..0.046432257]	[0.024913589..0.04703492]	[0.02369046..0.04703492]	
						PG 18:1/21:4 (5z-8z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:4 (5z-8z)/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:1/20:4 (5z-8z)	[0.0050780256..0.00788797]	[0.0048934..0.0075689014]	[0.005057166..0.008378295]	[0.005856414..0.008151619]	[0.0048934..0.008378295]	
PG 40:5:0	1.026746	1.096677	1.0664519	1.072232	[1.026746..1.096677]	Sum	[1.0990179..1.3371089]	[1.1678395..1.2687892]	[1.0929356..1.3776346]	[1.1903641..1.3205277]	[1.0929356..1.3776346]	
						PG 24:5 (6z-9z)/16:0	[0.12719992..0.17189737]	[0.11095873..0.17901048]	[0.1179311..0.17385621]	[0.106564425..0.14973086]	[0.106564425..0.17901048]	
						PG 16:0/24:5 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 22:5 (4z-7z)/18:0	[0.0..0.0057809977]	[0.0..0.0]	[0.0..0.012080238]	[0.0..0.0]	[0.0..0.012080238]	
						PG 18:0/22:5 (4z-7z)	[0.8965409..1.1561996]	[0.9706356..1.1197627]	[0.9325389..1.2080238]	[1.014821..1.1721625]	[0.8965409..1.2080238]	
						PG 20:1/20:4 (5z-8z)	[0.030773848..0.047170162]	[0.02209424..0.038456433]	[0.029661704..0.04022842]	[0.02581214..0.04436344]	[0.02209424..0.047170162]	
						PG 20:4 (5z-8z)/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PG 40:6:0	0.569202	0.55965483	0.58431286	0.5464314	[0.5464314..0.58431286]	Sum	[1.1895272..1.3600025]	[1.1277894..1.3139544]	[1.1363598..1.3185376]	[1.0910469..1.3368123]	[1.0910469..1.3600025]	
						PG 22:5 (4z-7z)/18:1	[0.6895868..0.9862597]	[0.6483278..0.8877536]	[0.67052305..0.9330725]	[0.59062225..0.94562876]	[0.59062225..0.9862597]	
						PG 18:1/22:5 (4z-7z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 22:6 (4z)/18:0	[0.0..0.013647586]	[0.0..0.05295351]	[0.0..0.024579508]	[0.0..0.03850696]	[0.0..0.05295351]	
						PG 18:0/22:6 (4z)	[0.3533849..0.4874138]	[0.30904052..0.4645045]	[0.36056188..0.5016227]	[0.3418368..0.48742983]	[0.30904052..0.5016227]	
						PG 20:2/20:4 (5z-8z)	[0.008583199..0.01438402]	[0.009286039..0.01633347]	[0.0..0.021616122]	[0.012187466..0.019594036]	[0.0..0.021616122]	
						PG 20:4 (5z-8z)/20:2	[0.0..7.04817E-4]	[0.0..0.0]	[0.0..0.0]	[0.0..4.310688E-4]	[0.0..7.04817E-4]	
PG 40:7:0	0.0981832	0.10638259	0.100957826	0.10044977	[0.0981832..0.10638259]	Sum	[0.078685515..0.09477501]	[0.07370879..0.08494397]	[0.07086757..0.08372223]	[0.071627736..0.08677922]	[0.07086757..0.09477501]	
						PG 18:1/22:6 (4z)	[0.0..0.019618427]	[0.0..0.026842298]	[0.0..0.021014277]	[0.0..0.019612102]	[0.0..0.026842298]	
						PG 22:6 (4z)/18:1	[0.06193698..0.09477501]	[0.050416812..0.08494397]	[0.053079806..0.08372223]	[0.055127278..0.08677922]	[0.050416812..0.09477501]	
