Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 39:3:0	0.1987327	0.18755038	0.18643008	0.19956085	[0.18643008..0.19956085]	Sum	[2.3215466..2.3215466]	[2.411884..2.411884]	[2.5004716..2.5004716]	[2.4076896..2.4076896]	[2.3215466..2.5004716]
						PS 18:0-21:3 (0z-11z)	[2.3215466..2.3215466]	[2.411884..2.411884]	[2.5004716..2.5004716]	[2.4076896..2.4076896]	[2.3215466..2.5004716]
PS 39:4:0	0.1257236	0.14786674	0.13639499	0.13768908	[0.1257236..0.14786674]	Sum	[0.5487509..0.5487509]	[0.56061614..0.56061614]	[0.58969975..0.58969975]	[0.5614651..0.5614651]	[0.5487509..0.58969975]
						PS 17:0-22:4 (0z-10z)	[0.04556195..0.04556195]	[0.051868595..0.051868595]	[0.047653276..0.047653276]	[0.045538377..0.045538377]	[0.045538377..0.051868595]
						PS 18:1-21:3 (0z-11z)	[0.39215592..0.39215592]	[0.39332262..0.39332262]	[0.42951232..0.42951232]	[0.40088302..0.40088302]	[0.39215592..0.42951232]
						PS 18:0-21:4 (0z-8z)	[0.08615256..0.08615256]	[0.08846982..0.08846982]	[0.08556541..0.08556541]	[0.08729156..0.08729156]	[0.08556541..0.08846982]
						PS 19:0-20:4 (0z-8z)	[0.024880407..0.024880407]	[0.026955068..0.026955068]	[0.026968826..0.026968826]	[0.027752087..0.027752087]	[0.024880407..0.027752087]
PS 39:5:0	0.042477578	0.0	0.0445443	0.05092581	[0.0..0.05092581]	Sum	[0.03846661..0.03846661]	[0.042125598..0.042125598]	[0.03866095..0.03866095]	[0.04088658..0.04088658]	[0.03846661..0.042125598]
						PS 17:1-22:4 (0z-10z)	[0.0018735053..0.0018735053]	[0.00226064..0.00226064]	[0.001893216..0.001893216]	[0.002040301..0.002040301]	[0.0018735053..0.00226064]
						PS 17:0-22:5 (0z-7z)	[0.024043772..0.024043772]	[0.026443101..0.026443101]	[0.023635423..0.023635423]	[0.025669908..0.025669908]	[0.023635423..0.026443101]
