Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
PS 41:3:0	0.047721654	0.061575644	0.07043169	0.058819197	[0.047721654..0.07043169]	Sum	[0.26608592..0.4658075]	[0.23567706..0.44762263]	[0.27413777..0.49641272]	[0.24874136..0.48184866]	[0.23567706..0.49641272]
						PS 18:1/23:2	[0.13634476..0.2965255]	[0.1087395..0.28579605]	[0.13783969..0.31033126]	[0.11520607..0.30352077]	[0.1087395..0.31033126]
						PS 23:2/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 18:0/23:3 (13z)	[0.119576976..0.16160014]	[0.11663595..0.15755822]	[0.13632569..0.17700313]	[0.12814973..0.16909574]	[0.11663595..0.17700313]
						PS 23:3 (13z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 19:0/22:3 (13z)	[0.002476197..0.010203465]	[0.0029199114..0.010306127]	[0.0..0.007845595]	[0.0044574486..0.009146654]	[0.0..0.010306127]
						PS 22:3 (13z)/19:0	[0.0..0.0049282736]	[0.0..0.00324643]	[0.0..0.0039227973]	[0.0..0.0017378641]	[0.0..0.0049282736]
PS 41:4:0	0.043146692	0.048659727	0.05570937	0.05405462	[0.043146692..0.05570937]	Sum	[0.20107773..0.28566068]	[0.21223748..0.29010198]	[0.14980635..0.16408059]	[0.1422556..0.17748636]	[0.1422556..0.29010198]
						PS 18:1/23:3 (13z)	[0.06642736..0.078325436]	[0.0679016..0.07739108]	[0.044049315..0.04743135]	[0.044102825..0.049452245]	[0.044049315..0.078325436]
						PS 23:3 (13z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 18:0/23:4 (7z-10z)	[0.12023043..0.17456129]	[0.12043165..0.18461144]	[0.07675798..0.09019546]	[0.07196601..0.094396316]	[0.07196601..0.18461144]
						PS 23:4 (7z-10z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 19:1/22:3 (13z)	[0.0..0.002713825]	[0.0027252713..0.0032224667]	[0.0025448902..0.0038929328]	[0.0028944935..0.004847004]	[0.0..0.004847004]
						PS 22:3 (13z)/19:1	[0.0..0.001348575]	[0.0..0.0]	[0.0..0.0]	[9.385517E-5..0.0011384244]	[0.0..0.001348575]
						PS 19:0/22:4 (7z-10z)	[0.0046906895..0.013618234]	[0.010314722..0.013670054]	[0.008225716..0.015150474]	[0.00804987..0.014211709]	[0.0046906895..0.015150474]
						PS 22:4 (7z-10z)/19:0	[0.0038337363..0.0125763025]	[0.0052145743..0.0074071228]	[0.003907947..0.00905308]	[0.004342051..0.009791151]	[0.0038337363..0.0125763025]
						PS 21:0/20:4 (5z-8z)	[0.0..0.0048459927]	[0.0..0.0055902046]	[0.0036828246..0.0061416053]	[0.0032724405..0.006318394]	[0.0..0.006318394]
						PS 20:4 (5z-8z)/21:0	[0.0..0.0048459927]	[0.0..0.0055902046]	[0.0..0.001713508]	[0.0..0.0021545724]	[0.0..0.0055902046]
PS 41:5:0	0.05772675	0.047614958	0.050124783	0.04158445	[0.04158445..0.05772675]	Sum	[0.013717044..0.031264726]	[0.016253341..0.021830903]	[0.009612865..0.033537146]	[0.013258535..0.03286786]	[0.009612865..0.033537146]
						PS 19:0/22:5 (4z-7z)	[0.007618..0.017165748]	[0.0086390525..0.01160266]	[0.004684921..0.016514743]	[0.006345428..0.01590002]	[0.004684921..0.017165748]
						PS 22:5 (4z-7z)/19:0	[0.006097324..0.01410359]	[0.00761408..0.010228661]	[0.004927464..0.017025786]	[0.006912531..0.016971607]	[0.004927464..0.017025786]
PS 41:6:0	0.05545973	0.06755734	0.07658885	0.068214044	[0.05545973..0.07658885]	Sum	[0.014117914..0.0361693]	[0.032058008..0.034080278]	[0.015474159..0.037724234]	[0.014828052..0.037802164]	[0.014117914..0.037802164]
						PS 19:0/22:6 (4z)	[0.008416109..0.03534211]	[0.013124579..0.025620198]	[0.0071684313..0.03691376]	[0.0068251616..0.037575155]	[0.0068251616..0.037575155]
						PS 22:6 (4z)/19:0	[0.0..0.01441958]	[0.007913829..0.020205094]	[0.0..0.019933432]	[0.0..0.020403307]	[0.0..0.020403307]
PS 42:2:0	0.9634583	0.9655236	0.93367183	0.9719287	[0.93367183..0.9719287]	Sum	[1.1123314..1.4306015]	[1.0075825..1.4248142]	[1.0782453..1.3234063]	[1.0652043..1.3717304]	[1.0075825..1.4306015]
						PS 18:1/24:1	[0.1291419..0.2562601]	[0.09800854..0.2321906]	[0.10944491..0.18839581]	[0.11738882..0.19628464]	[0.09800854..0.2562601]
						PS 24:1/18:1	[0.7688909..0.98648804]	[0.7420648..1.01371]	[0.78038967..0.9262793]	[0.7854552..0.9725516]	[0.7420648..1.01371]
						PS 18:0/24:2	[0.10611711..0.26734343]	[0.0767048..0.26336348]	[0.123793274..0.24528182]	[0.10161529..0.26289284]	[0.0767048..0.26734343]
						PS 24:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 22:1/20:1	[0.010600718..0.022351598]	[0.0077907825..0.02963931]	[0.015324349..0.020616893]	[0.013805662..0.019295413]	[0.0077907825..0.02963931]
						PS 20:1/22:1	[0.007808845..0.0176179]	[0.0..0.010788709]	[0.003557853..0.008300308]	[0.006827528..0.01192711]	[0.0..0.0176179]
PS 42:5:0	0.70356035	0.72715294	0.7345923	0.7049837	[0.70356035..0.7345923]	Sum	[0.8711135..0.97309995]	[0.8260389..0.98781043]	[0.8240888..0.92078376]	[0.84406936..0.9486054]	[0.8240888..0.98781043]
						PS 18:1/24:4 (9z)	[0.20225231..0.22291628]	[0.1737689..0.23632357]	[0.19055639..0.21667953]	[0.18922083..0.23393963]	[0.1737689..0.23632357]
						PS 24:4 (9z)/18:1	[0.123009205..0.13821517]	[0.107730635..0.15693933]	[0.11522757..0.13665392]	[0.10553901..0.13923295]	[0.10553901..0.15693933]
						PS 18:0/24:5 (6z-9z)	[0.5421855..0.61891305]	[0.52648324..0.6220634]	[0.5118227..0.5939082]	[0.5369681..0.5953487]	[0.5118227..0.6220634]
						PS 24:5 (6z-9z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 42:6:0	0.24266115	0.24113348	0.23520803	0.24572028	[0.23520803..0.24572028]	Sum	[0.5078722..0.84431386]	[0.46204844..0.8190175]	[0.5311528..0.78800964]	[0.4926294..0.79755634]	[0.46204844..0.84431386]
						PS 18:1/24:5 (6z-9z)	[0.20274222..0.2683182]	[0.16763753..0.26844874]	[0.19823363..0.25488782]	[0.1810338..0.25339174]	[0.16763753..0.26844874]
						PS 24:5 (6z-9z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PS 18:0/24:6 (6z)	[0.305205..0.5800689]	[0.29441983..0.55445516]	[0.33297268..0.53692085]	[0.31165203..0.54811376]	[0.29441983..0.5800689]
						PS 24:6 (6z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
