Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
PG 37:4:0	0.05605545	0.0746705	0.081539296	0.06534727	[0.05605545..0.081539296]	Sum	[0.11769546..0.14749984]	[0.11676728..0.1492538]	[0.114351116..0.15070368]	[0.12807782..0.1595006]	[0.114351116..0.1595006]
						PG 22:4 (7z-10z)/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 15:0/22:4 (7z-10z)	[0.023132535..0.029220752]	[0.025247281..0.028520847]	[0.024355577..0.029745812]	[0.025930554..0.03084206]	[0.023132535..0.03084206]
						PG 21:4 (5z-8z)/16:0	[0.009929858..0.014782942]	[0.008215753..0.020245807]	[0.009330118..0.019969203]	[0.008084509..0.019127026]	[0.008084509..0.020245807]
						PG 16:0/21:4 (5z-8z)	[0.0026636973..0.007215902]	[1.9293354E-4..0.010020445]	[0.0013447322..0.009517421]	[0.0013096904..0.010406434]	[1.9293354E-4..0.010406434]
						PG 20:3 (5z-11z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:1/20:3 (5z-11z)	[0.0026592643..0.0038874922]	[0.002476992..0.0039488575]	[0.002450696..0.0039432487]	[0.0029497016..0.0040258886]	[0.002450696..0.0040258886]
						PG 20:4 (5z-8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:0/20:4 (5z-8z)	[0.06523021..0.0791963]	[0.064400226..0.0778638]	[0.06447304..0.0824179]	[0.07249806..0.07891619]	[0.064400226..0.0824179]
						PG 19:2/18:2	[0.0032417567..0.0035753923]	[0.0027065587..0.0037257324]	[0.0028442235..0.003698355]	[0.003185757..0.004453853]	[0.0027065587..0.004453853]
						PG 18:2/19:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 19:3 (6z-9z)/18:1	[0.008620377..0.010435598]	[0.0075062765..0.011126009]	[0.00826061..0.011429104]	[0.0087362835..0.0130381035]	[0.0075062765..0.0130381035]
						PG 18:1/19:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PG 38:1:0	0.060365308	0.05892285	0.05461232	0.061300993	[0.05461232..0.061300993]	Sum	[0.45597282..0.6155053]	[0.41646555..0.6331774]	[0.45713428..0.66183615]	[0.45345634..0.70645875]	[0.41646555..0.70645875]
						PG 22:1/16:0	[0.27115297..0.41660967]	[0.2464373..0.4248306]	[0.27548766..0.4516828]	[0.28237644..0.48948386]	[0.2464373..0.48948386]
						PG 16:0/22:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 20:0/18:1	[0.13066669..0.14643484]	[0.11110224..0.14886437]	[0.11905333..0.14911106]	[0.11526152..0.15437555]	[0.11110224..0.15437555]
						PG 18:1/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 20:1/18:0	[0.002104573..0.008014667]	[0.0046323123..0.008431512]	[0.005251031..0.009156344]	[0.0..0.0064549986]	[0.0..0.009156344]
						PG 18:0/20:1	[0.04373405..0.05193287]	[0.044315785..0.05519911]	[0.04508461..0.05499911]	[0.050180722..0.06391087]	[0.04373405..0.06391087]
PG 38:2:0	0.24134083	0.25328964	0.22924332	0.22734821	[0.22734821..0.25328964]	Sum	[0.35020816..0.37695462]	[0.34840116..0.39305383]	[0.36046466..0.41633904]	[0.37120175..0.41710052]	[0.34840116..0.41710052]
						PG 22:2/16:0	[0.046805635..0.048953723]	[0.060987253..0.0714399]	[0.07900184..0.111176796]	[0.07562453..0.08217276]	[0.046805635..0.111176796]
						PG 16:0/22:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 20:0/18:2	[0.06852601..0.08042193]	[0.06284129..0.07797931]	[0.06689575..0.07615791]	[0.0668719..0.08057605]	[0.06284129..0.08057605]
						PG 18:2/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 20:1/18:1	[0.12820104..0.14541107]	[0.11748473..0.1440054]	[0.124684066..0.14343226]	[0.12446028..0.1474532]	[0.11748473..0.1474532]
						PG 18:1/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 18:0/20:2	[0.09908871..0.10627141]	[0.09615202..0.105919644]	[0.08569125..0.104889214]	[0.09769684..0.111551605]	[0.08569125..0.111551605]
						PG 20:2/18:0	[0.0..0.0022316996]	[0.0..5.295982E-4]	[0.0..0.0029368983]	[0.0..0.0]	[0.0..0.0029368983]
PG 38:3:0	0.94789934	0.9119773	0.9010867	0.9232054	[0.9010867..0.94789934]	Sum	[0.8901599..1.371778]	[0.88337874..1.3911813]	[0.8352687..1.4696072]	[0.9541626..1.5152471]	[0.8352687..1.5152471]
						PG 22:3 (13z)/16:0	[0.01386313..0.023685148]	[0.011971968..0.021073565]	[0.01277784..0.027203854]	[0.012971222..0.022577342]	[0.011971968..0.027203854]
						PG 16:0/22:3 (13z)	[0.012741049..0.022552062]	[0.015794154..0.026173368]	[0.012087146..0.026366813]	[0.015618411..0.025998149]	[0.012087146..0.026366813]
						PG 20:1/18:2	[0.103981696..0.119059935]	[0.09641898..0.11215648]	[0.09524512..0.11335573]	[0.09632134..0.11783787]	[0.09524512..0.119059935]
						PG 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 18:1/20:2	[0.0..0.011474806]	[0.0..0.0066970517]	[0.0033790518..0.014977275]	[0.0..0.00990983]	[0.0..0.014977275]
						PG 20:2/18:1	[0.10786752..0.12472615]	[0.111184575..0.12176457]	[0.093874276..0.13061264]	[0.109517716..0.13391662]	[0.093874276..0.13391662]
						PG 20:3 (5z-11z)/18:0	[0.033348314..0.212669]	[0.031636376..0.2136274]	[0.054454282..0.25918922]	[0.030501774..0.22672091]	[0.030501774..0.25918922]
						PG 18:0/20:3 (5z-11z)	[0.5858693..0.89564556]	[0.58376646..0.9095779]	[0.54527867..0.92667645]	[0.6446591..1.001524]	[0.54527867..1.001524]
PG 38:6:0	1.6321195	1.6091534	1.6145128	1.6005033	[1.6005033..1.6321195]	Sum	[1.1811522..1.7151301]	[1.2327273..1.6687431]	[1.2424365..1.8082964]	[1.2688746..1.673963]	[1.1811522..1.8082964]
						PG 22:5 (4z-7z)/16:1	[0.021032745..0.049292322]	[0.0179496..0.03955642]	[0.01541058..0.04095659]	[0.007956372..0.038225263]	[0.007956372..0.049292322]
						PG 16:1/22:5 (4z-7z)	[0.0..0.020111267]	[0.0..0.013172288]	[0.0..0.019618206]	[0.0..0.026031403]	[0.0..0.026031403]
						PG 22:6 (4z)/16:0	[0.0..0.01925136]	[0.0..0.043758225]	[0.0..0.0]	[0.0..0.08279244]	[0.0..0.08279244]
						PG 16:0/22:6 (4z)	[1.1236165..1.6042799]	[1.1686535..1.5627937]	[1.2077134..1.6961529]	[1.177407..1.5621215]	[1.1236165..1.6961529]
						PG 20:4 (5z-8z)/18:2	[0.0..0.016046489]	[0.0..0.017526044]	[0.0..0.012352965]	[0.0..0.013832101]	[0.0..0.017526044]
						PG 18:2/20:4 (5z-8z)	[0.01135324..0.03829711]	[0.01245919..0.03569459]	[0.016367821..0.039215762]	[0.017616225..0.03874538]	[0.01135324..0.039215762]
PG 39:4:0	0.0	0.0	0.0	0.036930606	[0.0..0.036930606]	Sum	[0.1113911..0.1361182]	[0.09763676..0.1403504]	[0.100985445..0.14285293]	[0.0874606..0.11828052]	[0.0874606..0.14285293]
						PG 23:4 (7z-10z)/16:0	[0.06179905..0.0873615]	[0.05330994..0.0820906]	[0.06088343..0.09052202]	[0.038298916..0.060060583]	[0.038298916..0.09052202]
						PG 16:0/23:4 (7z-10z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:0/22:4 (7z-10z)	[0.022675827..0.0317044]	[0.024847154..0.033129156]	[0.020896683..0.0295827]	[0.026127666..0.033328332]	[0.020896683..0.033328332]
						PG 20:4 (5z-8z)/19:0	[0.0..5.296078E-4]	[0.0..9.294879E-4]	[0.0..0.006407452]	[0.0..0.0012616242]	[0.0..0.006407452]
						PG 19:0/20:4 (5z-8z)	[0.016834311..0.025219422]	[0.01790758..0.026556797]	[0.010917147..0.026368115]	[0.017818958..0.024737729]	[0.010917147..0.026556797]
PG 39:5:0	0.033508684	0.0	0.0	0.0	[0.0..0.033508684]	Sum	[0.11208914..0.131089]	[0.105063014..0.13407673]	[0.10953222..0.13232842]	[0.10817032..0.13788672]	[0.105063014..0.13788672]
						PG 22:4 (7z-10z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:1/22:4 (7z-10z)	[0.0075536873..0.010977691]	[0.008290305..0.011473422]	[0.007882776..0.01015457]	[0.00894434..0.011320652]	[0.0075536873..0.011473422]
						PG 22:5 (4z-7z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:0/22:5 (4z-7z)	[0.058160175..0.072676346]	[0.065553285..0.073335536]	[0.06028092..0.07238273]	[0.06350519..0.075173885]	[0.058160175..0.075173885]
						PG 21:4 (5z-8z)/18:1	[0.025321873..0.041333813]	[0.023639238..0.041802786]	[0.027848184..0.046432257]	[0.024859196..0.04704529]	[0.023639238..0.04704529]
						PG 18:1/21:4 (5z-8z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 20:4 (5z-8z)/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 19:1/20:4 (5z-8z)	[0.005131037..0.007930768]	[0.0048815464..0.007628047]	[0.0050349613..0.00842437]	[0.0059201857..0.008216178]	[0.0048815464..0.00842437]
PG 40:5:0	1.0508808	1.1155564	1.090908	1.0904769	[1.0508808..1.1155564]	Sum	[1.0671599..1.2956605]	[1.1325824..1.2281463]	[1.0773437..1.3226743]	[1.1542841..1.2792811]	[1.0671599..1.3226743]
						PG 24:5 (6z-9z)/16:0	[0.108258024..0.14318603]	[0.094217174..0.15158318]	[0.10031188..0.14590536]	[0.08984966..0.12191184]	[0.08984966..0.15158318]
						PG 16:0/24:5 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 18:0/22:5 (4z-7z)	[0.8945119..1.1402273]	[0.96348006..1.0967296]	[0.9376567..1.1837252]	[1.0072029..1.1483655]	[0.8945119..1.1837252]
						PG 20:1/20:4 (5z-8z)	[0.030419583..0.046300307]	[0.021528069..0.037968595]	[0.029652884..0.040191155]	[0.025169412..0.043763623]	[0.021528069..0.046300307]
						PG 20:4 (5z-8z)/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PG 40:6:0	0.5512702	0.5436845	0.566137	0.5302356	[0.5302356..0.566137]	Sum	[1.1932244..1.3672911]	[1.1312461..1.2958555]	[1.128762..1.3262123]	[1.0939932..1.3465027]	[1.0939932..1.3672911]
						PG 22:5 (4z-7z)/18:1	[0.6890037..0.9872204]	[0.6477749..0.8889305]	[0.6670439..0.9341211]	[0.5893231..0.94886947]	[0.5893231..0.9872204]
						PG 18:1/22:5 (4z-7z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 22:6 (4z)/18:0	[0.0..0.0068840473]	[0.0..0.046854228]	[0.0..0.018721929]	[0.0..0.03294389]	[0.0..0.046854228]
						PG 18:0/22:6 (4z)	[0.36290374..0.49171764]	[0.31910208..0.46854225]	[0.3697923..0.5059981]	[0.35212752..0.49169984]	[0.31910208..0.5059981]
						PG 20:2/20:4 (5z-8z)	[0.008650164..0.01438402]	[0.009402644..0.01633347]	[0.0..0.021616122]	[0.012262814..0.01980308]	[0.0..0.021616122]
						PG 20:4 (5z-8z)/20:2	[0.0..7.04817E-4]	[0.0..0.0]	[0.0..0.0]	[0.0..4.158647E-4]	[0.0..7.04817E-4]
PG 40:7:0	0.09255332	0.10031685	0.09520361	0.094706126	[0.09255332..0.10031685]	Sum	[0.078692354..0.09528962]	[0.07398395..0.085429184]	[0.071136974..0.0842263]	[0.07156454..0.0867159]	[0.071136974..0.09528962]
						PG 18:1/22:6 (4z)	[0.0..0.020582559]	[0.0..0.027679056]	[0.0..0.021898838]	[0.0..0.019944659]	[0.0..0.027679056]
						PG 22:6 (4z)/18:1	[0.061138228..0.09528962]	[0.050013155..0.085429184]	[0.052641362..0.0842263]	[0.05463032..0.0867159]	[0.050013155..0.09528962]
