Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PG 19:2/18:0	[0.0020844042..0.003213416]	[0.0021834688..0.003991478]	[0.0031008283..0.004702137]	[0.0029404736..0.003967762]	[0.0020844042..0.004702137]
						PG 18:0/19:2	[0.0019334971..0.0030391295]	[0.001386406..0.0030677842]	[0.0014280131..0.002560052]	[0.001723914..0.0026741787]	[0.001386406..0.0030677842]
PG 37:4:0	0.02954236	0.039451774	0.04300217	0.034507222	[0.02954236..0.04300217]	Sum	[0.061747454..0.074881405]	[0.060715526..0.07535961]	[0.064181626..0.07823108]	[0.066029385..0.079735965]	[0.060715526..0.079735965]
						PG 22:4 (7z-10z)/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 15:0/22:4 (7z-10z)	[0.012123633..0.014852302]	[0.013109827..0.01446026]	[0.013609798..0.015461637]	[0.013528069..0.015486267]	[0.012123633..0.015486267]
						PG 21:4 (5z-8z)/16:0	[0.005047808..0.007564564]	[0.0042573554..0.010445107]	[0.004707265..0.010379833]	[0.0042177187..0.009576043]	[0.0042177187..0.010445107]
						PG 16:0/21:4 (5z-8z)	[0.0013540811..0.0036924416]	[9.9977035E-5..0.005169694]	[6.784493E-4..0.0049470803]	[6.8327045E-4..0.005210034]	[9.9977035E-5..0.005210034]
						PG 20:3 (5z-11z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:1/20:3 (5z-11z)	[0.0013937057..0.0019759317]	[0.0012597956..0.0020372733]	[0.0013739043..0.0020496692]	[0.0014876745..0.0020155816]	[0.0012597956..0.0020496692]
						PG 20:4 (5z-8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:0/20:4 (5z-8z)	[0.034186795..0.040230975]	[0.03344027..0.040256057]	[0.034717612..0.04144853]	[0.036564216..0.040546414]	[0.03344027..0.04144853]
						PG 19:2/18:2	[0.0016477176..0.0018791765]	[0.0013981436..0.0019346125]	[0.0015813845..0.0019223756]	[0.0016566515..0.0022298442]	[0.0013981436..0.0022298442]
						PG 18:2/19:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 19:3 (6z-9z)/18:1	[0.004364315..0.0054692393]	[0.0038817776..0.00574007]	[0.0041585863..0.0059407577]	[0.0045473063..0.006536209]	[0.0038817776..0.006536209]
						PG 18:1/19:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PG 38:1:0	0.03181375	0.031131582	0.02880143	0.03237055	[0.02880143..0.03237055]	Sum	[0.23158482..0.32291716]	[0.21614996..0.32784122]	[0.23093468..0.34485012]	[0.23690718..0.3554261]	[0.21614996..0.3554261]
						PG 22:1/16:0	[0.13712063..0.21834286]	[0.12730363..0.22059625]	[0.13858666..0.23643862]	[0.14684087..0.24686994]	[0.12730363..0.24686994]
						PG 16:0/22:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 20:0/18:1	[0.06628394..0.076964125]	[0.057572532..0.0768013]	[0.06216612..0.07750675]	[0.060132373..0.07728891]	[0.057572532..0.07750675]
						PG 18:1/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 20:1/18:0	[0.0010800613..0.004078291]	[0.0023559893..0.00434994]	[0.0029184094..0.004759395]	[0.0..0.003231728]	[0.0..0.004759395]
						PG 18:0/20:1	[0.022444202..0.026426222]	[0.022538962..0.028478025]	[0.025057051..0.028588101]	[0.026179474..0.031997304]	[0.022444202..0.031997304]
PG 38:2:0	0.12719153	0.13382427	0.12089828	0.1200533	[0.1200533..0.13382427]	Sum	[0.1778678..0.19348933]	[0.18068495..0.20243554]	[0.20031796..0.21327147]	[0.19380742..0.21152273]	[0.1778678..0.21327147]
						PG 22:2/16:0	[0.023790333..0.025414046]	[0.030724803..0.037019737]	[0.04392491..0.05609133]	[0.03786181..0.04286984]	[0.023790333..0.05609133]
						PG 16:0/22:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 20:0/18:2	[0.03476153..0.0408768]	[0.03256399..0.04023066]	[0.034502365..0.03958628]	[0.03488732..0.04037619]	[0.03256399..0.0408768]
						PG 18:2/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 20:1/18:1	[0.064830594..0.074624576]	[0.06068981..0.074294485]	[0.065274194..0.07455495]	[0.06472161..0.07475127]	[0.06068981..0.07475127]
						PG 18:1/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 18:0/20:2	[0.051910635..0.05401555]	[0.049825415..0.054586034]	[0.04804006..0.053255074]	[0.05080413..0.05601176]	[0.04804006..0.05601176]
						PG 20:2/18:0	[0.0..0.0011343266]	[0.0..2.72536E-4]	[0.0..0.001491142]	[0.0..0.0]	[0.0..0.001491142]
PG 38:3:0	0.49956223	0.48183846	0.47521484	0.48750705	[0.47521484..0.49956223]	Sum	[0.46701127..0.7200701]	[0.4593308..0.71650374]	[0.46880966..0.7628808]	[0.48866272..0.7574874]	[0.4593308..0.7628808]
						PG 22:3 (13z)/16:0	[0.00710139..0.012387361]	[0.0062038046..0.010616663]	[0.0071634874..0.013681007]	[0.006767136..0.011336426]	[0.0062038046..0.013681007]
						PG 16:0/22:3 (13z)	[0.006526604..0.011794756]	[0.008184438..0.013185896]	[0.006776272..0.013260053]	[0.008148185..0.013054066]	[0.006526604..0.013260053]
						PG 20:1/18:2	[0.052583..0.061101247]	[0.049807742..0.05823804]	[0.051973328..0.059337378]	[0.050088845..0.05899613]	[0.049807742..0.061101247]
						PG 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 18:1/20:2	[0.0..0.0058324053]	[0.0..0.0033937148]	[0.0018943573..0.0077850693]	[0.0..0.0049614073]	[0.0..0.0077850693]
						PG 20:2/18:1	[0.054718494..0.063395716]	[0.05683148..0.061703905]	[0.052627612..0.06789142]	[0.05713581..0.06704604]	[0.052627612..0.06789142]
						PG 20:3 (5z-11z)/18:0	[0.017477669..0.11177588]	[0.016427409..0.11021348]	[0.030528052..0.1347245]	[0.015383491..0.11350899]	[0.015383491..0.1347245]
						PG 18:0/20:3 (5z-11z)	[0.30705085..0.47073892]	[0.30312482..0.46926454]	[0.30569306..0.48167905]	[0.3251322..0.5014181]	[0.30312482..0.5014181]
PG 38:6:0	0.86016023	0.8501878	0.8514613	0.84516037	[0.84516037..0.86016023]	Sum	[0.6196768..0.86624277]	[0.6409817..0.8606393]	[0.66035587..0.90823984]	[0.6407063..0.86921054]	[0.6196768..0.90823984]
						PG 22:5 (4z-7z)/16:1	[0.0107939495..0.02590736]	[0.009320455..0.020433903]	[0.008639449..0.020597354]	[0.0040127756..0.019193484]	[0.0040127756..0.02590736]
						PG 16:1/22:5 (4z-7z)	[0.0..0.010570203]	[0.0..0.00680449]	[0.0..0.0098661315]	[0.0..0.013070763]	[0.0..0.013070763]
						PG 22:6 (4z)/16:0	[0.0..0.009735312]	[0.0..0.022604454]	[0.0..0.0]	[0.0..0.04305357]	[0.0..0.04305357]
						PG 16:0/22:6 (4z)	[0.5905572..0.81127596]	[0.60683155..0.807302]	[0.637543..0.8557493]	[0.59382224..0.8123315]	[0.5905572..0.8557493]
						PG 20:4 (5z-8z)/18:2	[0.0..0.008114626]	[0.0..0.009053536]	[0.0..0.0062123914]	[0.0..0.0071929432]	[0.0..0.009053536]
						PG 18:2/20:4 (5z-8z)	[0.005950171..0.019366648]	[0.006469521..0.018438973]	[0.0085679265..0.019721877]	[0.008884698..0.020148303]	[0.005950171..0.020148303]
PG 39:4:0	0.0	0.0	0.0	0.019501543	[0.0..0.019501543]	Sum	[0.05657461..0.071450815]	[0.0506745..0.07228504]	[0.054198287..0.07415571]	[0.045693584..0.059129637]	[0.045693584..0.07415571]
						PG 23:4 (7z-10z)/16:0	[0.031251453..0.04578568]	[0.027538644..0.04262612]	[0.0306187..0.047384806]	[0.019917907..0.03020518]	[0.019917907..0.047384806]
						PG 16:0/23:4 (7z-10z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:0/22:4 (7z-10z)	[0.011884277..0.016114688]	[0.012875649..0.017091814]	[0.011715056..0.015376853]	[0.013177423..0.016734663]	[0.011715056..0.017091814]
						PG 20:4 (5z-8z)/19:0	[0.0..2.6840233E-4]	[0.0..4.6826727E-4]	[0.0..0.0032223517]	[0.0..6.4911117E-4]	[0.0..0.0032223517]
						PG 19:0/20:4 (5z-8z)	[0.00882277..0.012781063]	[0.009298636..0.013379064]	[0.0057147075..0.013260708]	[0.008986945..0.012727669]	[0.0057147075..0.013379064]
PG 39:5:0	0.017659757	0.0	0.0	0.0	[0.0..0.017659757]	Sum	[0.057772275..0.0665501]	[0.054528803..0.06743304]	[0.058550872..0.06869238]	[0.056513328..0.06893097]	[0.054528803..0.06893097]
						PG 22:4 (7z-10z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:1/22:4 (7z-10z)	[0.003958846..0.0055797324]	[0.004304799..0.005780202]	[0.004306551..0.005278265]	[0.004566382..0.005684272]	[0.003958846..0.005780202]
						PG 22:5 (4z-7z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 17:0/22:5 (4z-7z)	[0.030481426..0.03675205]	[0.03396933..0.036945753]	[0.033076227..0.036401775]	[0.032028683..0.037745953]	[0.030481426..0.037745953]
						PG 21:4 (5z-8z)/18:1	[0.012845153..0.021615881]	[0.012249715..0.021706391]	[0.014050067..0.024305506]	[0.012969137..0.023606542]	[0.012249715..0.024305506]
						PG 18:1/21:4 (5z-8z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 20:4 (5z-8z)/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 19:1/20:4 (5z-8z)	[0.0026891483..0.004010548]	[0.0025347772..0.0038429382]	[0.0026356091..0.004236674]	[0.0029858307..0.004125468]	[0.0025347772..0.004236674]
PG 40:5:0	0.55383563	0.58939844	0.57532275	0.5758363	[0.55383563..0.58939844]	Sum	[0.5598721..0.6543857]	[0.5889093..0.63392097]	[0.58870435..0.6646967]	[0.5828449..0.6645823]	[0.5598721..0.6646967]
						PG 24:5 (6z-9z)/16:0	[0.054916594..0.0752566]	[0.04882279..0.07820397]	[0.050609715..0.07584046]	[0.04687491..0.061485928]	[0.04687491..0.07820397]
						PG 16:0/24:5 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 18:0/22:5 (4z-7z)	[0.46880874..0.576607]	[0.5002938..0.56671035]	[0.49838474..0.5955672]	[0.5079802..0.5974117]	[0.46880874..0.5974117]
						PG 20:1/20:4 (5z-8z)	[0.01561125..0.023413824]	[0.0111786..0.01912822]	[0.015522147..0.020891044]	[0.012694129..0.02197438]	[0.0111786..0.023413824]
						PG 20:4 (5z-8z)/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PG 40:6:0	0.29053062	0.2872529	0.29856917	0.27999574	[0.27999574..0.29856917]	Sum	[0.6039553..0.71733224]	[0.58415437..0.6588056]	[0.59765995..0.68971807]	[0.5715542..0.67313033]	[0.5715542..0.71733224]
						PG 22:5 (4z-7z)/18:1	[0.34842557..0.51739675]	[0.33462504..0.4615834]	[0.33653948..0.48554873]	[0.30745208..0.47505632]	[0.30745208..0.51739675]
						PG 18:1/22:5 (4z-7z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
						PG 22:6 (4z)/18:0	[0.0..0.0034812267]	[0.0..0.024203775]	[0.0..0.009415387]	[0.0..0.017131422]	[0.0..0.024203775]
						PG 18:0/22:6 (4z)	[0.19073717..0.24865906]	[0.165696..0.24203774]	[0.19765066..0.25446993]	[0.17759462..0.25569287]	[0.165696..0.25569287]
						PG 20:2/20:4 (5z-8z)	[0.0044392417..0.0073178364]	[0.0048823887..0.008437482]	[0.0..0.010870898]	[0.0062182755..0.009914513]	[0.0..0.010870898]
						PG 20:4 (5z-8z)/20:2	[0.0..3.5857398E-4]	[0.0..0.0]	[0.0..0.0]	[0.0..2.0820477E-4]	[0.0..3.5857398E-4]
PG 40:7:0	0.04877748	0.053001888	0.05020845	0.05001043	[0.04877748..0.053001888]	Sum	[0.039967194..0.048954587]	[0.038156558..0.044420645]	[0.038320795..0.044135295]	[0.037388723..0.04403115]	[0.037388723..0.048954587]
						PG 18:1/22:6 (4z)	[0.0..0.010461687]	[0.0..0.014280029]	[0.0..0.011382842]	[0.0..0.010014516]	[0.0..0.014280029]
						PG 22:6 (4z)/18:1	[0.031013895..0.048433736]	[0.025916524..0.04407416]	[0.028485043..0.043780163]	[0.028500846..0.04354137]	[0.025916524..0.048433736]
