Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PG 17:0/20:2	[0.0010578681..0.0014491003]	[0.0010466891..0.0016396157]	[0.0010165385..0.0013560525]	[0.0..0.0013821712]	[0.0..0.0016396157]	
						PG 19:0/18:2	[0.03285949..0.03641709]	[0.030209726..0.03370803]	[0.031988993..0.035334885]	[0.031293664..0.035398807]	[0.030209726..0.03641709]	
						PG 18:2/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:1/18:1	[0.034003645..0.04323195]	[0.030458098..0.043614693]	[0.031755578..0.04221503]	[0.03264213..0.04186233]	[0.030458098..0.043614693]	
						PG 18:1/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:2/18:0	[0.0017988861..0.0027974048]	[0.0018972316..0.0034670972]	[0.0026661528..0.0040636663]	[0.002566984..0.0034183606]	[0.0017988861..0.0040636663]	
						PG 18:0/19:2	[0.0016686501..0.0026456811]	[0.0011993513..0.0026550281]	[0.0012258174..0.0022067965]	[0.0015013542..0.0022922533]	[0.0011993513..0.0026550281]	
PG 37:4:0	0.049879402	0.06594739	0.07175162	0.057696953	[0.049879402..0.07175162]	Sum	[0.050802507..0.064454466]	[0.050254185..0.06477038]	[0.052892517..0.06706913]	[0.0542596..0.06806539]	[0.050254185..0.06806539]	
						PG 22:4 (7z-10z)/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/22:4 (7z-10z)	[0.010591972..0.012732701]	[0.01109663..0.012418265]	[0.011027018..0.013210449]	[0.011660179..0.013324525]	[0.010591972..0.013324525]	
						PG 21:4 (5z-8z)/16:0	[0.004335532..0.0068568652]	[0.0037079488..0.009004886]	[0.0040389136..0.009156378]	[0.0036553368..0.008276393]	[0.0036553368..0.009156378]	
						PG 16:0/21:4 (5z-8z)	[8.495298E-4..0.0031647072]	[1.08208624E-4..0.0044430196]	[4.1461407E-4..0.0042282636]	[5.461161E-4..0.004455831]	[1.08208624E-4..0.004455831]	
						PG 20:3 (5z-11z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/20:3 (5z-11z)	[0.0012163549..0.0017037964]	[0.0010901853..0.0017570206]	[0.0012042362..0.0017587814]	[0.0012884334..0.0017267541]	[0.0010901853..0.0017587814]	
						PG 20:4 (5z-8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/20:4 (5z-8z)	[0.027005881..0.034553815]	[0.026644383..0.03451313]	[0.027712617..0.03527474]	[0.02865916..0.034674827]	[0.026644383..0.03527474]	
						PG 19:2/18:2	[0.0014245408..0.0016425817]	[0.0012071254..0.0016941554]	[0.0013851515..0.0016603937]	[0.001425304..0.0019229439]	[0.0012071254..0.0019229439]	
						PG 18:2/19:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:3 (6z-9z)/18:1	[0.003759991..0.004794127]	[0.003353936..0.0050129727]	[0.0035639477..0.0051728697]	[0.0039157597..0.00568712]	[0.003353936..0.00568712]	
						PG 18:1/19:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PG 38:1:0	0.021976754	0.0189791	0.018244032	0.024458388	[0.018244032..0.024458388]	Sum	[0.19936341..0.2837398]	[0.18664354..0.28717622]	[0.19768713..0.3010643]	[0.20349368..0.31005287]	[0.18664354..0.31005287]	
						PG 22:1/16:0	[0.1179127..0.19141977]	[0.109785065..0.1930051]	[0.11855122..0.2059866]	[0.12620378..0.2148231]	[0.109785065..0.2148231]	
						PG 16:0/22:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:0/18:1	[0.05729953..0.067030944]	[0.049888633..0.066738315]	[0.053451583..0.06700942]	[0.051946625..0.06671526]	[0.049888633..0.067030944]	
						PG 18:1/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:1/18:0	[7.978679E-4..0.0034924957]	[0.0019054362..0.0037144958]	[0.0023989773..0.003992851]	[0.0..0.0026157117]	[0.0..0.003992851]	
						PG 18:0/20:1	[0.019467976..0.02308396]	[0.019576091..0.024835609]	[0.021565543..0.024750203]	[0.022683144..0.02753381]	[0.019467976..0.02753381]	
PG 38:2:0	0.2147505	0.22370003	0.2017258	0.20073217	[0.20073217..0.22370003]	Sum	[0.1546268..0.1719308]	[0.15765628..0.17974147]	[0.17784145..0.18876849]	[0.16817628..0.18650812]	[0.1546268..0.18876849]	
						PG 22:2/16:0	[0.020723581..0.022421194]	[0.02680837..0.032163486]	[0.03864062..0.04827558]	[0.032835115..0.037099633]	[0.020723581..0.04827558]	
						PG 16:0/22:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:0/18:2	[0.030070506..0.035385545]	[0.028239371..0.03497215]	[0.02968123..0.034235287]	[0.030148046..0.03496073]	[0.028239371..0.035385545]	
						PG 18:2/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:1/18:1	[0.055904448..0.06470245]	[0.052494586..0.06458109]	[0.05600357..0.06447739]	[0.05577781..0.06493723]	[0.052494586..0.06493723]	
						PG 18:1/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:2/18:0	[0.0013317915..0.0037342606]	[0.0..0.0030588843]	[0.0..0.0042027887]	[8.24706E-4..0.0028228436]	[0.0..0.0042027887]	
						PG 18:0/20:2	[0.04390155..0.047138978]	[0.042351905..0.050145637]	[0.042127665..0.048869632]	[0.04325125..0.04950058]	[0.042127665..0.050145637]	
PG 38:3:0	0.84346217	0.8054389	0.79292357	0.81512415	[0.79292357..0.84346217]	Sum	[0.41444683..0.50482273]	[0.40690866..0.4991004]	[0.41090232..0.5458437]	[0.4319128..0.51845694]	[0.40690866..0.5458437]	
						PG 22:3 (13z)/16:0	[6.7658356E-4..0.006266877]	[3.5792147E-4..0.0040727593]	[0.0017104847..0.0064952685]	[0.0016312022..0.0045427894]	[3.5792147E-4..0.0064952685]	
						PG 16:0/22:3 (13z)	[0.007008385..0.0131590525]	[0.0081986375..0.014765659]	[0.008110548..0.0132618025]	[0.008530582..0.0133656915]	[0.007008385..0.014765659]	
						PG 20:1/18:2	[0.04417411..0.0518747]	[0.041918077..0.049980603]	[0.04354264..0.050777726]	[0.042260498..0.049840346]	[0.041918077..0.0518747]	
						PG 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:2/18:1	[0.04624977..0.053325318]	[0.047552966..0.050927978]	[0.044360872..0.05701437]	[0.047794484..0.05624458]	[0.044360872..0.05701437]	
						PG 18:1/20:2	[0.0..0.0049592545]	[0.0012364802..0.0040178834]	[0.0023937556..0.00771758]	[0.0..0.004780789]	[0.0..0.00771758]	
						PG 20:3 (5z-11z)/18:0	[0.0..0.010669228]	[0.0..0.008303598]	[0.0..0.025955588]	[0.0..0.0047709947]	[0.0..0.025955588]	
						PG 18:0/20:3 (5z-11z)	[0.29296046..0.38104382]	[0.28926083..0.37743625]	[0.29449755..0.39931676]	[0.30769044..0.39758292]	[0.28926083..0.39931676]	
PG 38:4:0	5.475292	5.7040377	5.429949	5.7278705	[5.429949..5.7278705]	Sum	[2.3267305..3.5020645]	[2.48364..3.3082395]	[2.5097..3.5248227]	[2.6030278..3.5465772]	[2.3267305..3.5465772]	
						PG 22:4 (7z-10z)/16:0	[0.0..0.019193046]	[0.0..0.012182856]	[0.0..0.019510813]	[0.0..0.02623481]	[0.0..0.02623481]	
						PG 16:0/22:4 (7z-10z)	[0.093237884..0.15604101]	[0.10197604..0.145034]	[0.10468945..0.14452454]	[0.095426664..0.16396756]	[0.093237884..0.16396756]	
						PG 20:3 (5z-11z)/18:1	[0.0..0.00982481]	[0.0..0.0040502166]	[0.0..0.011236566]	[0.0011432155..0.020641139]	[0.0..0.020641139]	
						PG 18:1/20:3 (5z-11z)	[0.035136953..0.05646443]	[0.043841057..0.06532608]	[0.040142577..0.063483424]	[0.040284738..0.07772183]	[0.035136953..0.07772183]	
						PG 20:4 (5z-8z)/18:0	[0.0..0.2086923]	[0.0..0.11929605]	[0.0..0.16914181]	[0.0..0.14157133]	[0.0..0.2086923]	
						PG 18:0/20:4 (5z-8z)	[2.1900606..3.0690045]	[2.3307972..2.9824014]	[2.3562844..3.1322558]	[2.448348..3.1460297]	[2.1900606..3.1460297]	
PG 38:5:0	2.8080502	2.851628	2.8319516	2.6661398	[2.6661398..2.851628]	Sum	[1.0922976..1.6914723]	[1.2187159..1.5960287]	[1.2325228..1.7083364]	[1.2386531..1.672348]	[1.0922976..1.7083364]	
						PG 22:5 (4z-7z)/16:0	[0.0..0.06645464]	[0.0..0.0195848]	[0.0..0.038992774]	[0.0..0.038568202]	[0.0..0.06645464]	
						PG 16:0/22:5 (4z-7z)	[0.9342771..1.3562173]	[1.0441254..1.3056535]	[1.0451806..1.392599]	[1.0504..1.3774357]	[0.9342771..1.392599]	
						PG 20:4 (5z-8z)/18:1	[0.0..0.035911962]	[0.0..0.020233998]	[0.0..0.029537873]	[0.0..0.020949312]	[0.0..0.035911962]	
						PG 18:1/20:4 (5z-8z)	[0.15412636..0.24101987]	[0.17114301..0.25612652]	[0.1831267..0.25463685]	[0.18337888..0.24359664]	[0.15412636..0.25612652]	
PG 38:6:0	1.4522967	1.42117	1.4207127	1.4131297	[1.4131297..1.4522967]	Sum	[0.53599113..0.73605967]	[0.55261356..0.73458415]	[0.5673171..0.76788414]	[0.5500925..0.73823404]	[0.53599113..0.76788414]	
						PG 22:5 (4z-7z)/16:1	[0.00984735..0.022384016]	[0.0085339565..0.018019805]	[0.008073514..0.017953381]	[0.0038094232..0.01691052]	[0.0038094232..0.022384016]	
						PG 16:1/22:5 (4z-7z)	[0.0..0.008461158]	[0.0..0.005441981]	[0.0..0.008025162]	[0.0..0.011025659]	[0.0..0.011025659]	
						PG 22:6 (4z)/16:0	[0.0..0.016593162]	[0.0..0.027599208]	[0.0..0.008676605]	[0.0..0.044974357]	[0.0..0.044974357]	
						PG 16:0/22:6 (4z)	[0.5047888..0.6913817]	[0.51548725..0.68998027]	[0.5416826..0.7230504]	[0.5016694..0.6919132]	[0.5016694..0.7230504]	
						PG 20:4 (5z-8z)/18:2	[0.0..0.0070941346]	[0.0..0.0078808]	[0.0..0.0054060207]	[0.0..0.0063086627]	[0.0..0.0078808]	
						PG 18:2/20:4 (5z-8z)	[0.0051041786..0.01657508]	[0.0055505354..0.015824901]	[0.007338351..0.016788885]	[0.007573628..0.017236784]	[0.0051041786..0.017236784]	
PG 39:4:0	0.0	0.0	0.0	0.032607075	[0.0..0.032607075]	Sum	[0.048954617..0.061872758]	[0.043886933..0.06250552]	[0.046618078..0.06375472]	[0.039507825..0.050685667]	[0.039507825..0.06375472]	
						PG 23:4 (7z-10z)/16:0	[0.026875252..0.04014122]	[0.023750309..0.037295762]	[0.026191907..0.041283213]	[0.017119804..0.026282165]	[0.017119804..0.041283213]	
						PG 16:0/23:4 (7z-10z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/22:4 (7z-10z)	[0.01031065..0.013864298]	[0.011166945..0.014675905]	[0.010265287..0.013136316]	[0.011351723..0.014400619]	[0.010265287..0.014675905]	
						PG 20:4 (5z-8z)/19:0	[0.0..3.075283E-4]	[0.0..4.8402086E-4]	[0.0..0.0028484575]	[0.0..6.314948E-4]	[0.0..0.0028484575]	
						PG 19:0/20:4 (5z-8z)	[0.007612495..0.010983153]	[0.008006659..0.011524307]	[0.0048954245..0.01139383]	[0.0076960977..0.010887843]	[0.0048954245..0.011524307]	
PG 39:5:0	0.02981678	0.0	0.0	0.0	[0.0..0.02981678]	Sum	[0.049026..0.05694453]	[0.04686045..0.057918932]	[0.04970965..0.05858944]	[0.048586793..0.058900286]	[0.04686045..0.058900286]	
						PG 22:4 (7z-10z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/22:4 (7z-10z)	[0.0034399421..0.0048023947]	[0.0037316214..0.0049858866]	[0.0037618938..0.0045162267]	[0.0039363173..0.0048930715]	[0.0034399421..0.0049858866]	
						PG 22:5 (4z-7z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/22:5 (4z-7z)	[0.02412965..0.031065745]	[0.0274775..0.03163104]	[0.025007606..0.030860309]	[0.02480187..0.032250725]	[0.02412965..0.032250725]	
						PG 21:4 (5z-8z)/18:1	[0.011104154..0.018948354]	[0.0106147025..0.018992027]	[0.012080441..0.021175763]	[0.011203652..0.02053994]	[0.0106147025..0.021175763]	
						PG 18:1/21:4 (5z-8z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:4 (5z-8z)/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:1/20:4 (5z-8z)	[0.0023332722..0.0034303307]	[0.002223191..0.0033067644]	[0.0023063566..0.0036043231]	[0.002570321..0.0035420107]	[0.002223191..0.0036043231]	
PG 40:5:0	0.8612341	0.91333616	0.8849515	0.8925721	[0.8612341..0.91333616]	Sum	[0.44782078..0.6046028]	[0.4683498..0.58207226]	[0.45902714..0.61536014]	[0.46008798..0.60702896]	[0.44782078..0.61536014]	
						PG 24:5 (6z-9z)/16:0	[0.05564661..0.078781605]	[0.049715962..0.0802548]	[0.05104649..0.078131124]	[0.047922067..0.065715365]	[0.047922067..0.0802548]	
						PG 16:0/24:5 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 22:5 (4z-7z)/18:0	[0.0..0.03383123]	[0.0..0.027454333]	[0.0..0.039341297]	[0.0..0.028832234]	[0.0..0.039341297]	
						PG 18:0/22:5 (4z-7z)	[0.35318932..0.49751806]	[0.3774304..0.49025592]	[0.36650032..0.51092595]	[0.38123342..0.51486135]	[0.35318932..0.51486135]	
						PG 20:1/20:4 (5z-8z)	[0.013697958..0.020513423]	[0.010037953..0.016801165]	[0.0135274315..0.018078685]	[0.011328688..0.019276636]	[0.010037953..0.020513423]	
						PG 20:4 (5z-8z)/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PG 40:6:0	0.47744644	0.46609253	0.48486814	0.45487309	[0.45487309..0.48486814]	Sum	[0.5224959..0.6245915]	[0.5070571..0.57214427]	[0.51321375..0.5971888]	[0.4930252..0.57517976]	[0.4930252..0.6245915]	
						PG 22:5 (4z-7z)/18:1	[0.30128792..0.45063594]	[0.2904885..0.40140995]	[0.28952733..0.4193522]	[0.26560307..0.40867943]	[0.26560307..0.45063594]	
						PG 18:1/22:5 (4z-7z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 22:6 (4z)/18:0	[0.0..0.0059350803]	[0.0..0.023591515]	[0.0..0.010574047]	[0.0..0.017210884]	[0.0..0.023591515]	
						PG 18:0/22:6 (4z)	[0.16237475..0.21196716]	[0.14040466..0.20694311]	[0.16718018..0.21579689]	[0.15002872..0.21785928]	[0.14040466..0.21785928]	
						PG 20:2/20:4 (5z-8z)	[0.0038205264..0.00630703]	[0.004218874..0.007276785]	[0.0..0.009299205]	[0.0053545428..0.008468101]	[0.0..0.009299205]	
						PG 20:4 (5z-8z)/20:2	[0.0..3.090445E-4]	[0.0..0.0]	[0.0..0.0]	[0.0..1.8629822E-4]	[0.0..3.090445E-4]	
PG 40:7:0	0.08235602	0.08859771	0.083775714	0.083618715	[0.08235602..0.08859771]	Sum	[0.034592208..0.04235821]	[0.03272407..0.0387016]	[0.032571804..0.038313154]	[0.032367334..0.038299568]	[0.032367334..0.04235821]	
						PG 18:1/22:6 (4z)	[0.0..0.008641281]	[0.0..0.012034062]	[0.0..0.009443833]	[0.0..0.008521778]	[0.0..0.012034062]	
						PG 22:6 (4z)/18:1	[0.02710128..0.04174532]	[0.02258966..0.038082473]	[0.024653463..0.037624832]	[0.024790762..0.037706982]	[0.02258966..0.04174532]	
